state,county,cluster,(pop.15_19+pop.20_24+pop.25_29),emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
SC,greenville,15,0.202556840374864,0.0441410634576731,50690.0123001779,0.158909568682729,7292,365242,315.666666666667,107.333333333333,459708,423,0.000920149312172074,0.000233481543356507,0.00102613365936729,0.000165965886753209,471.721852280418,107.333333333333,983.544951327278,1070.86623138445,353.721802608809,385.126000806615,1337.26675393609,1455.99223219107,DUI & DWI
SC,greenwood,16,0.21214236902815,0.0615734276122285,37420.5107488423,0.227383463561009,1507,42771,10.6666666666667,1,67318,11.6666666666667,0.000173306792635947,1.4854867940224e-05,0.00027531307029136,3.16355583676052e-05,18.5335252658738,2.12964251819045,25.5402635929754,25.5402635929754,0,0,25.5402635929754,25.5402635929754,DUI & DWI
SC,hampton,2,0.192097415279374,0.0509940357852883,36114.494210091,0.197564612326044,300,8692,1,0,20120,1,4.97017892644135e-05,0,0.000293877766661053,4.58379171250458e-05,5.91282066522039,0.922258892555922,0,0,0,0,0,0,DUI & DWI
SC,horry,1,0.192306864858876,0.0518994421419455,42765.4438605815,0.193611879938621,5115,236862,164,70.3333333333333,278924,234.333333333333,0.000840133274057927,0.000252159489084243,0.000615160045876342,8.67613087943432e-05,234.333333333333,70.3333333333333,1699.53725690231,1699.53725690231,389.915426948014,389.915426948014,2089.45268385032,2089.45268385032,DUI & DWI
SC,jasper,7,0.231380465677304,0.0582424190361653,38061.9569226882,0.240185551069496,415,11125,3.5,3,23282,6.5,0.000279185636972769,0.000128854909372047,0.00058188401112045,7.28137666561491e-05,13.5474235469063,3,0,0,1.00760506601016,1.00760506601016,1.00760506601016,1.00760506601016,DUI & DWI
SC,kershaw,1,0.181060944817136,0.0515273431679332,46281.6664735643,0.164565638503949,1239,46382,20,1.5,67110,21.5,0.000320369542542095,2.23513634331694e-05,0.000615160045876342,8.67613087943432e-05,41.2833906787613,5.82255143318837,5.80655399899848,5.80655399899848,0,0,5.80655399899848,5.80655399899848,DUI & DWI
SC,lancaster,14,0.176388434277322,0.0567704270364126,41690.8477618723,0.216537909861849,1272,61608,17.3333333333333,4.5,79478,21.8333333333333,0.000274709143830158,5.66194418581243e-05,0.000388223065459418,4.00272185085858e-05,30.8551927965836,4.5,2.57940099660071,2.57940099660071,0,0,2.57940099660071,2.57940099660071,DUI & DWI
SC,laurens,14,0.193402287539127,0.0542345711995725,39561.4135175628,0.1961248298411,2085,55880,8,2.5,78603,10.5,0.000133582687683676,3.18054018294467e-05,0.000388223065459418,4.00272185085858e-05,30.5154976143066,3.14625945643037,65.5534328481556,65.5534328481556,0,0,65.5534328481556,65.5534328481556,DUI & DWI
SC,lee,14,0.208822099042705,0.0684361316827937,30796.8292570374,0.220120006486837,321,5593,1,0,18499,1,5.40569760527596e-05,0,0.000388223065459418,4.00272185085858e-05,7.18173848793378,0.740463515190329,0,0,0,0,0,0,DUI & DWI
SC,lexington,10,0.194058631915673,0.0456866641840298,55978.2172166319,0.141399691022318,4113,224792,79.3333333333333,12.6666666666667,271217,92,0.000339211775073096,4.67030704810785e-05,0.000632395869696096,7.609153304148e-05,171.516510591366,20.6373173169111,131.179055881209,211.479673098342,12.6858903627261,20.4514960780034,143.864946243935,231.931169176345,DUI & DWI
