state,county,cluster,mar.yes,hh.married_couple,hh.median_income,fer.birth_count,fer.unmarried_birth_pml,emp.no,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
TX,galveston,20,132690,61916,66964.2445581259,4178,36.4925026264684,12919,233,47.6666666666667,310523,280.666666666667,0.000903851459204847,0.00015350446397422,0.00107620429814001,0.000411177106764382,334.186187271331,127.679948723796,457.294316234981,523.858753596559,169.33689095368,193.98581938055,626.63120718866,717.844572977109,Divorce & Separation
TX,garza,13,2417,806,50633.8762641285,14,14.664698439477,38,2,0,6477,2,0.000308784931295353,0,0.000469648937419279,0.000111278028153341,3.04191616766467,0.72074778834919,0,0,0,0,0,0,Divorce & Separation
TX,gillespie,21,12740,6064,53335.4307070327,288,58.6463339494763,778,5.66666666666667,2,25074,7.66666666666667,0.000305761612294276,7.97638988593762e-05,0.000437306193845909,0.000117834207270371,10.9650155044923,2.95457491309727,5.2544292035092,5.2544292035092,6.21202136606595,6.21202136606595,11.4664505695752,11.4664505695752,Divorce & Separation
TX,glasscock,8,520,262,80625,5,0,12,1,0,963,1,0.00103842159916926,0,0.000681759935904613,0.000183923099932898,1,0.177117945235381,0,0,0,0,0,0,Divorce & Separation
TX,goliad,22,2915,1382,46355.853014038,77,1.79850016302576,215,1,0,6088,1,0.000164257555847569,0,0.000416927246195539,9.03913947392208e-05,2.53825307483844,0.550302811172376,0,0,0,0,0,0,Divorce & Separation
TX,gonzales,19,7683,3134,41974.0485493512,306,62.3409545885576,693,25,5,19093,30,0.00157125648143299,0.000261876080238831,0.000413172925021266,0.000103665616188423,30,5,0,0,0,0,0,0,Divorce & Separation
TX,gray,19,9338,4366,45630.6571192834,280,63.1964006978239,511,4,0,22640,4,0.000176678445229682,0,0.000413172925021266,0.000103665616188423,9.35423502248147,2.34698955050589,88.4261567990133,88.4261567990133,0,0,88.4261567990133,88.4261567990133,Divorce & Separation
TX,grayson,14,53412,24937,48723.4579869389,1622,41.9446835920317,5372,100.333333333333,46.3333333333333,124346,146.666666666667,0.00117950450088195,0.000372616194596797,0.000787139689578714,0.000239687190329516,146.666666666667,46.3333333333333,79.9876407705158,79.9876407705158,50.9457568462146,50.9457568462146,130.93339761673,130.93339761673,Divorce & Separation
TX,gregg,14,57425,26553,47301.6391558183,2271,59.7878360581592,4678,87.6666666666667,25.6666666666667,147172,113.333333333333,0.000770074017702643,0.000174399115773834,0.000787139689578714,0.000239687190329516,115.844922394678,35.2752431751756,694.343926737726,706.353250830254,0,0,694.343926737726,706.353250830254,Divorce & Separation
TX,grimes,21,10458,4608,46942.6843709186,311,63.6168732506997,706,4.33333333333333,0,27443,4.33333333333333,0.000157903047528817,0,0.000437306193845909,0.000117834207270371,12.0009938777133,3.23372415012078,2.39303447734452,2.39303447734452,0,0,2.39303447734452,2.39303447734452,Divorce & Separation
